Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
11876591081,"Jul 13, 2024, 10:10:05 AM",Afternoon Run,Run,,2045,3.81,,,false,,,activities/11876591081.gpx,,,2045.0,1944.0,3809.5,10.608,1.96,0.0,0.0,19.2,21.0,1.5,0.0,,,89.0,67.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3811.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.863,0.0,,,,4316.0,,,,,1.96,,,,,,,,,,""
14082456959,"Apr 4, 2025, 11:26:51 PM",Mcd,Ride,"",4056,14.68,,,false,,,activities/14082456959.gpx,,,4056.0,3673.0,14681.7,24.227,3.997,9.8,5.3,3.0,10.3,6.2,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.62,0.0,,,,,,,,,,,,,,,,,,,media/db723670-0e0f-444e-aaa7-a9fa37aa99c0.jpg
14082977138,"Apr 5, 2025, 1:36:29 AM",Rumah,Ride,"",4208,14.62,,,false,,,activities/14082977138.gpx,,,4208.0,4119.0,14620.6,8.718,3.55,11.2,11.2,3.0,8.2,6.3,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.474,0.0,,,,,,,,,,,,,,,,,,,""
14461917907,"May 12, 2025, 11:57:55 PM",Berlari Pagi,Run,"",3125,5.00,,,false,,,activities/14461917907.gpx,,,3125.0,2430.0,5001.1,8.378,2.058,0.0,0.0,18.0,21.0,12.3,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5011.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.6,0.0,,,,,,,,,2.062,,,,,,,,,,media/74c78652-75f6-4556-9a01-516ddd590c0f.jpg
14502836289,"May 16, 2025, 10:55:08 PM",Berlari Pagi,Run,"",2504,5.01,,,false,,,activities/14502836289.gpx,,,2504.0,2355.0,5009.9,12.04,2.127,0.0,0.0,17.2,32.4,20.6,-0.3,,,92.0,71.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5000.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.001,0.0,,,,5416.0,,,,,2.123,,,,,,,,,,media/b6d49a80-8a38-420f-9b6d-ff96aba51ec1.jpg
14585168927,"May 24, 2025, 11:50:02 PM",Demi sedikit run,Run,"",3349,6.34,,,false,,,activities/14585168927.gpx,,,3349.0,3080.0,6342.9,8.42,2.059,2.3,14.6,17.8,32.5,6.5,-0.2,,,92.0,76.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,6329.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.894,0.0,,,,7840.0,,,,,2.055,,,,,,,,,,media/b24a3a79-61ff-48ca-8b94-14ccbef01b73.jpg
14645871001,"May 30, 2025, 10:36:09 PM",Jakal run,Run,"",2332,5.08,,,false,,,activities/14645871001.gpx,,,2332.0,2222.0,5085.0,6.207,2.288,7.0,41.8,132.3,167.6,3.4,-0.7,,,98.0,78.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5033.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.181,0.0,,,,5750.0,,,,,2.265,,,,,,,,,,media/f327850b-cce4-484b-9f0e-df9beee11b6a.jpg
14692874113,"Jun 4, 2025, 11:01:04 AM",GBK tutup run,Run,"",2061,5.08,,,false,,,activities/14692874113.gpx,,,2061.0,2023.0,5084.2,14.61,2.513,6.4,8.4,16.4,22.9,4.9,0.0,,,95.0,75.0,,,,,375.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5087.0,1749034752.0,3.0,29.7,31.0,24.1,0.72,1010.2,2.0,3.0,336.0,0.1,1748991488.0,1749033856.0,0.375,,,0.44,5.0,0.69,19295.0,0.0,,,,,2.0,2.467,0.0,,,,5000.0,,,,,2.515,,,,,,,,,,media/89c77a50-41d8-4142-9b44-6cef84a156e3.jpg
14927288589,"Jun 26, 2025, 11:18:12 PM",Jumat sehat run,Run,"",3280,6.81,,,false,,,activities/14927288589.gpx,,,3280.0,3114.0,6812.2,11.22,2.188,4.5,20.9,11.1,32.4,15.6,-0.2,,,94.0,75.0,,,,,504.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6835.5,1750978816.0,3.0,25.3,27.2,23.5,0.9,1010.4,0.8,2.0,206.0,0.0,1750978944.0,1751021312.0,0.125,,,0.48,5.0,0.64,21237.0,0.0,,,,,0.0,2.077,0.0,,,,7820.0,,,,,2.195,,,,,,,,,,media/5dabd720-9d58-4450-b1dc-c7040d36bbb3.jpg
14947320053,"Jun 28, 2025, 11:29:19 PM",Jakim jakiman run,Run,"",4633,10.15,,,false,,,activities/14947320053.gpx,,,4633.0,4593.0,10149.7,15.29,2.21,11.5,24.5,14.3,32.4,31.6,-0.1,,,100.0,80.0,,,,,750.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10176.2,1751151616.0,3.0,23.6,25.4,22.0,0.91,1009.5,0.8,2.0,195.0,0.0,1751151744.0,1751194112.0,0.125,,,0.79,5.0,0.77,20806.0,0.0,,,,,0.0,2.191,0.0,,,,11988.0,,,,,2.216,,,,,,,,,,media/8d14193e-110c-4d7a-aa8c-2e66f4148001.jpg
